SEQUENTIAL
5500310000;6600310000;7024;6700310000;6800310000;6;6902400000;6902500000;6902600000;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310001;6600310001;7024;6700310001;6800310001;6;6902400001;6902500001;6902600001;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310002;6600310002;7024;6700310002;6800310002;6;6902400002;6902500002;6902600002;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310003;6600310003;7024;6700310003;6800310003;6;6902400003;6902500003;6902600003;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310004;6600310004;7024;6700310004;6800310004;6;6902400004;6902500004;6902600004;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310005;6600310005;7024;6700310005;6800310005;6;6902400005;6902500005;6902600005;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310006;6600310006;7024;6700310006;6800310006;6;6902400006;6902500006;6902600006;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310007;6600310007;7024;6700310007;6800310007;6;6902400007;6902500007;6902600007;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310008;6600310008;7024;6700310008;6800310008;6;6902400008;6902500008;6902600008;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310009;6600310009;7024;6700310009;6800310009;6;6902400009;6902500009;6902600009;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310010;6600310010;7024;6700310010;6800310010;6;6902400010;6902500010;6902600010;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310011;6600310011;7024;6700310011;6800310011;6;6902400011;6902500011;6902600011;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310012;6600310012;7024;6700310012;6800310012;6;6902400012;6902500012;6902600012;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310013;6600310013;7024;6700310013;6800310013;6;6902400013;6902500013;6902600013;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310014;6600310014;7024;6700310014;6800310014;6;6902400014;6902500014;6902600014;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310015;6600310015;7024;6700310015;6800310015;6;6902400015;6902500015;6902600015;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310016;6600310016;7024;6700310016;6800310016;6;6902400016;6902500016;6902600016;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310017;6600310017;7024;6700310017;6800310017;6;6902400017;6902500017;6902600017;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310018;6600310018;7024;6700310018;6800310018;6;6902400018;6902500018;6902600018;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310019;6600310019;7024;6700310019;6800310019;6;6902400019;6902500019;6902600019;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310020;6600310020;7024;6700310020;6800310020;6;6902400020;6902500020;6902600020;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310021;6600310021;7024;6700310021;6800310021;6;6902400021;6902500021;6902600021;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310022;6600310022;7024;6700310022;6800310022;6;6902400022;6902500022;6902600022;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310023;6600310023;7024;6700310023;6800310023;6;6902400023;6902500023;6902600023;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310024;6600310024;7024;6700310024;6800310024;6;6902400024;6902500024;6902600024;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
5500310025;6600310025;7024;6700310025;6800310025;6;6902400025;6902500025;6902600025;fcff:1:256:172:24:3:0:49;fcff:1:256:172:24:3:0:190
